id,age,npset,testirt2,oc_comp,oc_reg,irregular
624,50,1,0.88678247,0,3,reg
625,31,7,0.39288607,0,0,reg
626,24,1,0.38179988,0,2,reg
627,21,0,-1.1448131,2,2,reg
628,15,0,-1.2910343,0,0,reg
629,35,2,-2.5534945,0,0,reg
630,36,2,-1.0602885,0,1,reg
631,21,0,-0.95760429,0,0,reg
632,22,0,-0.85455322,0,0,reg
633,39,1,-0.010241032,5,5,reg
634,22,0,0.30522463,0,1,reg
635,26,8,0.38179988,0,0,reg
636,39,4,-0.62694013,0,0,reg
637,15,2,-0.79725903,0,0,reg
638,22,0,0.88678247,0,1,reg
639,38,0,0.88678247,0,1,reg
640,35,1,0.88678247,0,2,reg
641,15,0,0.38179988,3,3,reg
642,24,0,-0.27303874,3,3,reg
643,19,0,0.88678247,0,0,reg
644,53,1,0.14470895,2,2,reg
645,45,5,-1.1717906,0,0,reg
646,37,0,-0.43735144,1,10,reg
647,28,0,0.88678247,4,5,reg
648,26,8,0.26567224,0,1,reg
649,25,2,0.88678247,0,6,reg
650,25,0,-0.20973253,0,3,reg
651,18,0,0.88678247,0,1,reg
652,NA,0,-0.46766704,0,1,reg
653,NA,0,-0.30181825,0,1,reg
654,18,0,0.88678247,1,2,reg
655,28,0,-1.3940706,1,1,reg
656,29,0,0.39288607,0,0,reg
657,49,0,0.30522463,0,0,reg
658,20,5,0.39288607,0,0,reg
659,22,0,0.88678247,4,4,reg
660,36,2,0.88678247,1,2,reg
661,20,0,-1.5755183,0,0,reg
662,29,0,0.88678247,0,1,reg
663,33,4,0.38179988,2,5,irreg
664,20,0,0.31142372,0,5,reg
665,31,2,0.38179988,1,7,reg
666,37,7,0.39288607,NA,NA,reg
667,37,0,-2.8655179,12,12,reg
668,20,3,0.13725428,0,1,reg
669,25,0,-0.072321698,0,1,reg
670,23,4,0.38179988,0,0,reg
671,NA,8,0.13725428,1,1,reg
672,22,0,0.26567224,NA,NA,reg
673,26,7,-0.10451905,0,0,reg
674,28,1,-2.8655179,0,0,reg
675,20,1,-0.99394941,0,0,reg
676,50,0,-0.76717037,1,1,reg
677,28,0,0.88678247,0,0,reg
678,29,2,0.31142372,2,3,reg
679,NA,1,0.88678247,0,0,reg
680,31,1,-0.43735144,0,2,reg
681,45,0,0.30522463,2,2,reg
682,22,0,-1.4377354,5,7,reg
683,26,0,0.31142372,0,1,reg
684,20,0,0.88678247,NA,NA,reg
685,37,6,-1.2772912,0,0,reg
686,29,0,-1.0612034,0,0,reg
687,31,0,0.39288607,NA,NA,reg
688,25,4,-0.21159379,1,4,reg
689,NA,0,-0.17322749,NA,NA,reg
690,26,1,-0.47993225,12,12,reg
691,26,6,-0.080933593,0,2,irreg
692,19,0,0.88678247,0,0,reg
693,29,0,-0.55404812,0,12,reg
694,39,6,0.88678247,3,4,reg
695,29,3,-0.47993225,0,1,reg
696,32,0,0.88678247,0,1,reg
697,NA,5,-0.84143329,NA,NA,reg
